Starting balance: $1000.00
Annual Interest Rate: 3.50%
Monthly Payment: $120.00

Payment        Amount         Interest       Principal      Balance        

1              120.00         2.92           117.08         882.91         
2              120.00         2.58           117.42         765.48         
3              120.00         2.23           117.77         647.71         
4              120.00         1.89           118.11         529.59         
5              120.00         1.54           118.46         411.13         
6              120.00         1.20           118.80         292.32         
7              120.00         0.85           119.15         173.17         
8              120.00         0.51           119.49         53.67          
9              53.83          0.16           53.67          0.00           

Total Payments Made: 9
Total Interest Paid: 13.82



Starting balance: $5000.00
Annual Interest Rate: 4.00%
Monthly Payment: $165.00

Payment        Amount         Interest       Principal      Balance        

1              165.00         16.67          148.33         4851.66        
2              165.00         16.17          148.83         4702.83        
3              165.00         15.68          149.32         4553.50        
4              165.00         15.18          149.82         4403.67        
5              165.00         14.68          150.32         4253.34        
6              165.00         14.18          150.82         4102.51        
7              165.00         13.68          151.32         3951.18        
8              165.00         13.17          151.83         3799.35        
9              165.00         12.66          152.34         3647.01        
10             165.00         12.16          152.84         3494.16        
11             165.00         11.65          153.35         3340.80        
12             165.00         11.14          153.86         3186.93        
13             165.00         10.62          154.38         3032.55        
14             165.00         10.11          154.89         2877.65        
15             165.00         9.59           155.41         2722.24        
16             165.00         9.07           155.93         2566.31        
17             165.00         8.55           156.45         2409.86        
18             165.00         8.03           156.97         2252.89        
19             165.00         7.51           157.49         2095.39        
20             165.00         6.98           158.02         1937.37        
21             165.00         6.46           158.54         1778.82        
22             165.00         5.93           159.07         1619.74        
23             165.00         5.40           159.60         1460.13        
24             165.00         4.87           160.13         1299.99        
25             165.00         4.33           160.67         1139.32        
26             165.00         3.80           161.20         978.11         
27             165.00         3.26           161.74         816.37         
28             165.00         2.72           162.28         654.09         
29             165.00         2.18           162.82         491.27         
30             165.00         1.64           163.36         327.90         
31             165.00         1.09           163.91         163.99         
32             164.54         0.55           163.99         0.00           

Total Payments Made: 32
Total Interest Paid: 279.53



Starting balance: $200000.00
Annual Interest Rate: 5.50%
Monthly Payment: $2250.00

Payment        Amount         Interest       Principal      Balance        

1              2250.00        916.67         1333.33        198666.66      
2              2250.00        910.56         1339.44        197327.21      
3              2250.00        904.42         1345.58        195981.62      
4              2250.00        898.25         1351.75        194629.86      
5              2250.00        892.05         1357.95        193271.91      
6              2250.00        885.83         1364.17        191907.73      
7              2250.00        879.58         1370.42        190537.30      
8              2250.00        873.30         1376.70        189160.59      
9              2250.00        866.99         1383.01        187777.57      
10             2250.00        860.65         1389.35        186388.21      
11             2250.00        854.28         1395.72        184992.48      
12             2250.00        847.88         1402.12        183590.36      
13             2250.00        841.46         1408.54        182181.81      
14             2250.00        835.00         1415.00        180766.80      
15             2250.00        828.51         1421.49        179345.31      
16             2250.00        822.00         1428.00        177917.30      
17             2250.00        815.45         1434.55        176482.75      
18             2250.00        808.88         1441.12        175041.62      
19             2250.00        802.27         1447.73        173593.89      
20             2250.00        795.64         1454.36        172139.52      
21             2250.00        788.97         1461.03        170678.49      
22             2250.00        782.28         1467.72        169210.76      
23             2250.00        775.55         1474.45        167736.30      
24             2250.00        768.79         1481.21        166255.09      
25             2250.00        762.00         1488.00        164767.09      
26             2250.00        755.18         1494.82        163272.27      
27             2250.00        748.33         1501.67        161770.60      
28             2250.00        741.45         1508.55        160262.04      
29             2250.00        734.53         1515.47        158746.57      
30             2250.00        727.59         1522.41        157224.15      
31             2250.00        720.61         1529.39        155694.76      
32             2250.00        713.60         1536.40        154158.36      
33             2250.00        706.56         1543.44        152614.91      
34             2250.00        699.49         1550.51        151064.39      
35             2250.00        692.38         1557.62        149506.76      
36             2250.00        685.24         1564.76        147941.99      
37             2250.00        678.07         1571.93        146370.05      
38             2250.00        670.86         1579.14        144790.91      
39             2250.00        663.63         1586.37        143204.53      
40             2250.00        656.35         1593.65        141610.88      
41             2250.00        649.05         1600.95        140009.92      
42             2250.00        641.71         1608.29        138401.63      
43             2250.00        634.34         1615.66        136785.97      
44             2250.00        626.94         1623.06        135162.90      
